q_idx,variant,output_json
q0,0,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,1,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,2,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,3,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,4,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,5,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,6,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,7,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,8,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
q0,9,"[{'diecutter_id': 60494, 'serial_camera1': 659422, 'serial_camera2': 228852}, {'diecutter_id': 65125, 'serial_camera1': 452726, 'serial_camera2': 169015}, {'diecutter_id': 15306, 'serial_camera1': 762265, 'serial_camera2': 217913}, {'diecutter_id': 43936, 'serial_camera1': 120083, 'serial_camera2': 855200}, {'diecutter_id': 77013, 'serial_camera1': 284217, 'serial_camera2': 681195}, {'diecutter_id': 73691, 'serial_camera1': 622256, 'serial_camera2': 483483}]"
